Algorithm: dynamic_a_star, Bound: 45, Weight: 3.0, Cost: 101.8, Time: 0.49, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 45, Weight: 4.0, Cost: 101.8, Time: 0.48, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 45, Weight: 5.0, Cost: 101.8, Time: 0.47, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 45, Weight: 10.0, Cost: 101.8, Time: 0.47, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 50, Weight: 0.1, Cost: 101.8, Time: 0.62, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 50, Weight: 1.0, Cost: 101.8, Time: 0.57, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 50, Weight: 2.0, Cost: 101.8, Time: 0.56, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 50, Weight: 3.0, Cost: 101.8, Time: 0.52, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 50, Weight: 4.0, Cost: 101.8, Time: 0.48, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 50, Weight: 5.0, Cost: 101.8, Time: 0.47, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 50, Weight: 10.0, Cost: 101.8, Time: 0.46, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 55, Weight: 0.1, Cost: 101.8, Time: 0.63, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 55, Weight: 1.0, Cost: 101.8, Time: 0.57, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 55, Weight: 2.0, Cost: 101.8, Time: 0.55, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 55, Weight: 3.0, Cost: 101.8, Time: 0.5, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 55, Weight: 4.0, Cost: 101.8, Time: 0.48, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 55, Weight: 5.0, Cost: 101.8, Time: 0.48, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 55, Weight: 10.0, Cost: 101.8, Time: 0.47, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 60, Weight: 0.1, Cost: 101.8, Time: 0.65, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 60, Weight: 1.0, Cost: 101.8, Time: 0.58, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 60, Weight: 2.0, Cost: 101.8, Time: 0.56, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 60, Weight: 3.0, Cost: 101.8, Time: 0.52, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 60, Weight: 4.0, Cost: 101.8, Time: 0.5, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 60, Weight: 5.0, Cost: 101.8, Time: 0.49, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 60, Weight: 10.0, Cost: 101.8, Time: 0.48, Success Rate: 1.0
Algorithm: dynamic_a_star, Bound: 65, Weight: 0.1, Cost: 101.8, Time: 0.65, Success Rate: 1.0
